"SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"Floreana_E","1125.316"," 489.928"," 541.170"," 710.501"," 703.157"," 530.420"," 638.511"," 501.840","  75.201","  11.719","   0.000"," 283.941","1017.464","1102.307","1193.302","1057.281","1722.642","1238.127","1228.630","1060.443"," 622.183","1461.972"," 701.848","1292.327"," 823.379","1412.721","2004.442","1323.685","1486.186","1479.677","2231.278","1678.148","1919.774","1893.317","1391.454"," 457.765"," 485.450"," 637.022","1008.305"," 953.413","1518.099","1650.709","1813.133","1252.083","1770.953","1284.746"
"Floreana_W","1071.195"," 431.597"," 507.821"," 638.741"," 521.557"," 567.783"," 748.838"," 404.899"," 213.905"," 370.334"," 616.951","   0.000","1213.570","1261.846","1348.775","1171.050","1763.101","1102.542","1221.655","1034.170"," 664.132","1625.884"," 801.093","1445.727","1003.846","1751.984","2359.886","1704.691","1909.443","1872.712","2723.498","2044.818","2304.006","2357.437","1767.581"," 389.519"," 510.723"," 800.033","1283.264"," 831.891","1356.749","1504.680","1663.129","1131.669","1574.355","1157.354"
"Espanola_N","1302.533"," 493.942"," 489.548"," 833.374"," 629.393"," 312.893"," 497.736"," 421.054"," 210.176"," 171.216","  79.520"," 364.935","   0.000"," 367.438","  21.454"," 100.828","1728.905"," 459.941"," 393.461"," 789.544"," 770.681","1265.186"," 950.046","1286.788","1072.248","1233.105","1523.980","1045.261","1157.036","1152.195","1598.516","1305.028","1484.846","1411.604","1491.532"," 516.564"," 617.789"," 881.507","1244.121"," 991.936","1560.833","1752.100","1953.240","1335.699","1810.270","1380.516"
"Espanola_S","1477.708"," 582.056"," 769.078"," 850.035"," 923.074"," 638.257"," 798.807"," 716.083"," 428.785"," 322.292"," 306.982"," 534.589"," 504.575","   0.000","  67.472"," 109.017","1975.246"," 585.100"," 537.930"," 972.012"," 755.159","1589.550"," 871.082","1540.104","1051.176","1560.918","1852.449","1341.668","1433.749","1476.610","1981.654","1653.670","1814.007","1782.676","1580.062"," 731.971"," 739.085"," 873.895","1219.067","1209.690","1787.513","1969.248","2189.485","1564.425","2034.188","1589.549"
"Espanola_E","1414.528"," 562.611"," 536.336"," 991.209"," 567.524"," 368.844"," 412.828"," 480.275"," 521.181"," 509.143"," 442.218"," 694.327","  19.909","   7.765","   0.000"," 217.058","1595.566"," 404.510"," 397.236"," 553.852"," 907.201","1341.626","1048.905","1391.443","1177.676","1182.818","1519.347","1031.679","1086.575","1150.446","1648.689","1338.483","1465.597","1441.193","1636.012"," 813.326"," 825.962","1019.424","1371.147","1356.097","1978.232","2129.412","2326.666","1701.421","2199.539","1763.440"
"Espanola_W","1458.141"," 511.392"," 649.472"," 931.780"," 790.296"," 501.372"," 640.174"," 596.083"," 405.905"," 364.451"," 264.070"," 597.684"," 257.348"," 136.966"," 349.047","   0.000","1688.693"," 370.957"," 478.263"," 749.785"," 872.062","1512.677","1034.085","1492.465","1192.664","1392.503","1692.104","1202.932","1298.334","1323.793","1833.208","1506.978","1700.496","1648.829","1670.852"," 751.743"," 791.499","1007.664","1358.684","1258.192","1879.244","2075.297","2222.783","1655.065","2138.353","1682.205"
"SanCristobal_N"," 488.577"," 641.664"," 264.704"," 917.559"," 289.905"," 323.625"," 227.220"," 408.669"," 467.455"," 448.968"," 326.910"," 621.236"," 669.672"," 842.069"," 855.534"," 639.770","   0.000"," 726.591"," 436.525"," 312.887"," 777.490"," 685.859"," 672.724"," 614.598","1043.862"," 717.609"," 637.738"," 573.557"," 391.205"," 669.165"," 716.344"," 779.112"," 694.498"," 868.126","1035.311"," 850.544"," 793.293"," 773.005","1089.465","1455.471","2056.330","1704.177","1990.271","1765.209","2298.524","1766.700"
"SanCristobal_S"," 934.005"," 474.543"," 481.365"," 899.146"," 338.876"," 267.620"," 201.324"," 424.173"," 479.913"," 549.295"," 474.390"," 638.029"," 503.742"," 775.806"," 727.646"," 550.295","1114.751","   0.000"," 179.035"," 148.369"," 814.189"," 930.279"," 919.344"," 914.259","1103.624"," 969.251","1071.483"," 701.243"," 797.493"," 799.325","1148.618"," 940.885","1077.481","1011.595","1261.995"," 649.792"," 579.640"," 918.101","1269.199","1231.011","1870.139","1934.791","2186.746","1605.539","2119.651","1625.725"
"SanCristobal_E","1124.980"," 688.292"," 724.672","1037.953"," 612.034"," 444.906"," 400.705"," 645.419"," 454.328"," 505.615"," 450.235"," 620.017"," 157.571"," 356.791"," 280.377"," 282.609"," 882.916"," 110.821","   0.000"," 327.748","1000.889","1193.049","1147.039","1152.720","1346.284","1027.175","1341.733","1054.245","1107.299","1145.147","1403.923","1267.119","1361.432","1319.401","1531.726"," 695.773"," 735.697","1125.446","1534.261","1253.651","1878.358","2026.991","2247.540","1627.026","2106.487","1657.226"
"SanCristobal_W"," 797.969"," 779.279"," 523.784","1196.353"," 489.896"," 494.400"," 395.237"," 665.029"," 597.819"," 581.681"," 490.592"," 760.667"," 196.443"," 393.306"," 260.520"," 222.685"," 706.531"," 258.546"," 390.650","   0.000","1108.054"," 895.092"," 959.317"," 856.410","1265.934"," 836.182"," 987.746"," 614.208"," 686.494"," 728.508","1016.067"," 868.717"," 965.389"," 922.118","1233.103"," 898.178"," 888.026","1055.972","1396.705","1580.765","2252.056","2012.582","2313.930","1901.609","2473.976","1924.329"
