island,lat,long
Corvo,39.697289,-31.1041496
Flores,39.4389629,-31.1943809
Faial,38.57648,-28.6954967
Graciosa,39.0498954,-28.0096493
Pico,38.4671793,-28.3314037
SantaMaria,36.9710843,-25.1049405
SaoJorge,38.6356425,-28.0411595
SaoMiguel,37.769952,-25.49028
Terceira,38.7215881,-27.2205529
