"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"118","Sonchus hierrensis",1,1,1,NA,NA,NA,NA
"119","Sonchus lidii",1,NA,NA,NA,NA,NA,NA
"120","Sonchus pinnatifidus",NA,NA,NA,NA,NA,1,1
"121","Sonchus pitardii",1,NA,NA,NA,NA,NA,NA
"122","Sonchus radicatus",NA,NA,NA,1,NA,NA,NA
"123","Sonchus tectifolius",NA,NA,NA,1,NA,NA,NA
"124","Sonchus tenerrimus",1,NA,1,1,1,1,1
"125","Sonchus tuberifer",NA,NA,NA,1,NA,NA,NA
"126","Spergula fallax",1,NA,1,1,1,1,1
"127","Spergularia fimbriata",NA,NA,NA,1,1,1,1
"128","Spergularia media",NA,NA,1,1,1,1,1
"129","Tamarix africana",NA,NA,NA,1,1,1,1
"131","Tolpis crassiuscula",NA,NA,NA,1,NA,NA,NA
"132","Tricholaena teneriffae",1,1,1,1,1,1,1
"133","Trifolium arvense",1,1,1,1,1,1,1
"134","Trifolium campestre",1,1,1,1,1,1,1
"137","Urospermum picroides",1,1,1,1,1,1,1
"138","Vieria laevigata",NA,NA,NA,1,NA,NA,NA
"139","Volutaria bollei",NA,NA,NA,NA,NA,1,1
"140","Volutaria canariensis",1,1,1,1,1,1,1
"141","Apollonias barbujana",1,1,1,1,1,1,NA
"142","Arbutus canariensis",1,1,1,1,1,NA,NA
"143","Asparagus arborescens",1,1,1,1,1,1,1
"144","Asparagus horridus",NA,NA,NA,NA,NA,1,1
"145","Asparagus nesiotes",NA,NA,NA,NA,NA,1,1
"146","Asparagus pastorianus",NA,NA,1,1,1,1,1
"147","Asparagus scoparius",1,1,1,1,1,1,NA
"148","Asparagus umbellatus",1,1,1,1,1,1,NA
"149","Bencomia caudata",NA,1,NA,1,1,NA,NA
"150","Bosea yervamora",1,1,1,1,1,1,NA
"151","Bryonia verrucosa",1,1,1,1,1,NA,1
"153","Cytinus hypocistis",1,1,1,1,1,NA,NA
"154","Daphne gnidium",NA,1,NA,1,1,NA,NA
"155","Dracunculus canariensis",1,1,1,1,1,1,NA
"156","Ilex canariensis",1,1,1,1,1,NA,NA
"157","Jasminum odoratissimum",1,1,1,1,1,1,NA
"158","Kunkeliella psilotoclada",NA,NA,NA,1,NA,NA,NA
"160","Lycium intricatum",NA,1,1,1,1,1,1
"161","Morella faya",1,1,1,1,1,1,1
"162","Neochamaelea pulverulenta",1,NA,1,1,1,NA,NA
"163","Osyris lanceolata",NA,1,1,1,NA,NA,NA
"164","Persea indica",1,1,1,1,1,NA,NA
"165","Phoenix canariensis",1,1,1,1,1,1,1
"166","Pistacia atlantica",NA,1,1,1,1,1,NA
"167","Plocama pendula",1,1,1,1,1,1,NA
"168","Rhamnus crenulata",1,1,1,1,1,1,1
