"","Island","Geographic.space","Island.age","Island.area"
"1","Galapagos",0.908308232755597,0.697313498262265,0.302490718358908
"2","Canaries",0.99275693176539,0.294636538493154,0.257506951579878
"3","Azores",0.996196578390355,0.595902509225793,0.236941258110624
