"","name_species","SantaMaria","SaoMiguel","Terceira","Graciosa","SaoJorge","Pico","Faial","Flores","Corvo"
"134","Smilax azorica",1,1,1,NA,1,1,1,NA,NA
"135","Sonchus asper",1,1,1,1,1,1,1,1,1
"137","Stellaria alsine",NA,NA,NA,NA,NA,1,NA,1,NA
"138","Taraxacum maderense",NA,NA,NA,NA,NA,1,NA,NA,NA
"139","Thymus caespititius",NA,1,1,1,1,1,1,1,1
"140","Tolpis azorica",NA,1,1,NA,1,1,1,1,1
"141","Tolpis succulenta",1,1,1,1,1,1,1,1,1
"142","Umbilicus horizontalis",1,1,1,1,1,1,1,1,1
"143","Vaccinium cylindraceum",1,1,1,NA,1,1,1,1,1
"144","Veronica dabneyi",NA,NA,NA,NA,NA,NA,1,1,1
"145","Viburnum treleasei",1,1,1,NA,1,1,1,1,1
"146","Viola palustris",NA,NA,NA,NA,1,1,1,1,NA
