"","Chisq","Df","Pr(>Chisq)"
"archipelago",40.9598658206958,2,0.00000000127549319905055
"centered_log_in_degree",11.6700943238895,1,0.000635127902061088
"archipelago:centered_log_in_degree",6.7033419473526,2,0.035025778021865
