"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.52814858966904,0.249329676936635,-6.12902807417267,0.000000000884175253744514
"archipelagoCanaries",0.111461585430211,0.268820106299273,0.414632621661575,0.678410863634448
"archipelagoGalapagos",-0.734809675922451,0.279895249329827,-2.62530242182337,0.00865720363975394
"Closeness_scaled",0.083884198496042,0.242490658487085,0.345927546320346,0.729397166250569
"archipelagoCanaries:Closeness_scaled",1.07498274938116,0.352847761656456,3.04659081393804,0.00231452550773472
"archipelagoGalapagos:Closeness_scaled",-0.0461778475055835,0.266145611066935,-0.173505951574644,0.862253750151487
