"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.61572054645748,0.0845701617503109,-19.1050899397333,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000229032656490262
"archipelagoCanaries",-0.19074438063754,0.122637044321438,-1.55535696161748,0.119861078200109
"archipelagoGalapagos",-0.50663788588229,0.132302336635061,-3.82939484492845,0.000128458758668838
"centered_log_in_degree",-0.0141584978565885,0.0825974368059831,-0.171415704943073,0.863896906782161
"archipelagoCanaries:centered_log_in_degree",0.144343663169264,0.0885994069922141,1.62917188804602,0.103276636318405
"archipelagoGalapagos:centered_log_in_degree",-0.206613434655833,0.182087056655271,-1.13469588915919,0.256502760326869
