"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.57728635845064,0.144701069086067,-10.9003089501189,0.00000000000000000000000000114866597036842
"archipelagoCanaries",-0.289111749665596,0.21107181189219,-1.36973169024231,0.170770672448998
"archipelagoGalapagos",-0.55835449151949,0.19728304529287,-2.83022036024739,0.00465159541842888
"Betweenness",-0.00169062106086611,0.00850205950591594,-0.198848415456247,0.842381322091335
"archipelagoCanaries:Betweenness",0.00907332337957988,0.0166241781096668,0.545790794571904,0.585209751731609
"archipelagoGalapagos:Betweenness",-0.00512567035468514,0.0129670872185513,-0.395283093905017,0.692633974766059
