"","Chisq","Df","Pr(>Chisq)"
"archipelago",21.7591098331278,2,0.0000188394983399094
"betweenness",0.116596040203105,1,0.732756090778417
"archipelago:betweenness",0.674664694120933,2,0.713671613821216
