name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Limonium_perezii,Plumbaginaceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Limonium_preauxii,Plumbaginaceae,1,End,,0,0,0,0,1,0,0,1,ANE,
Limonium_spectabile,Plumbaginaceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Limonium_sventenii,Plumbaginaceae,1,End,,0,0,0,0,1,0,0,1,ANE,
Lobularia_canariensis,Brassicaceae,1,NS,,1,1,1,1,1,1,1,7,ANE,
Lobularia_libyca,Brassicaceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Logfia_clementei,Asteraceae,1,NP,,0,0,0,0,0,0,1,1,ANE,
Logfia_gallica,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,ANE,
Salsola_vermiculata,Chenopodiaceae,1,NS,exclusive,0,0,0,1,1,1,1,4,ANE,
Melica_ciliata,Poaceae,1,NS,,0,0,1,1,1,1,1,5,ANE,
Onopordon_nogalesii,Asteraceae,1,End,,0,0,0,0,0,1,0,1,ANE,
Pericallis_echinata,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Pericallis_lanata,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Pericallis_papyracea,Asteraceae,1,End,,0,1,0,0,0,0,0,1,ANE,
Pericallis_steetzii,Asteraceae,1,End,,0,0,1,0,0,0,0,1,ANE,
Periploca_laevigata,Asclepiadaceae,1,NS,,1,1,1,1,1,1,1,7,ANE,
Phagnalon_purpurascens,Asteraceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Phagnalon_rupestre,Asteraceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Phagnalon_saxatile,Asteraceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Phagnalon_umbelliforme,Asteraceae,1,End,,1,1,1,1,1,0,0,5,ANE,
Phyllis_nobla,Rubiaceae,1,NS,,1,1,1,1,1,0,0,5,ANE,
Phyllis_viscosa,Rubiaceae,1,End,,1,0,1,1,0,0,0,3,ANE,
Suaeda_ifniensis,Chenopodiaceae,1,NP,exclusive,0,0,0,1,0,1,1,3,THA,1
Cyperus_capitatus,Cyperaceae,1,NS,exclusive,0,1,0,1,1,1,1,5,UNS,
Ranunculus_cortusifolius,Ranunculaceae,1,NS,,1,1,1,1,1,1,1,7,ANE,
Lotus_lancerottensis,Fabaceae,1,NS,exclusive,0,0,0,0,0,1,1,2,UNS,
Rumex_lunaria,Polygonaceae,1,End,,1,1,1,1,1,1,1,7,ANE,
Rumex_vesicarius,Polygonaceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Polycarpaea_nivea,Caryophyllaceae,1,NS,exclusive,1,1,0,1,1,1,1,6,UNS,
Salsola_frankenioides,Chenopodiaceae,1,NS,,0,0,0,0,0,1,1,2,ANE,
Sagina_maritima,Caryophyllaceae,1,NP,exclusive,0,0,0,1,0,0,0,1,UNS,
Atractylis_arbuscula,Asteraceae,1,End,presence,0,0,0,0,1,0,1,2,ANE,
Schizogyne_glaberrima,Asteraceae,1,End,,0,0,0,1,1,0,0,2,ANE,
Atractylis_preauxiana,Asteraceae,1,End,presence,0,0,0,1,1,0,0,2,ANE,
Caralluma_burchardii,Asclepiadaceae,1,NS,presence,0,0,0,0,1,1,1,3,ANE,
Senecio_glaucus,Asteraceae,1,NP,,1,0,1,1,1,1,1,6,ANE,
Senecio_ilsae,Asteraceae,1,End,,0,0,1,0,0,0,0,1,ANE,
Senecio_incrassatus,Asteraceae,1,NS,,1,1,0,0,0,0,0,2,ANE,
Senecio_leucanthemifolius,Asteraceae,1,NP,,0,0,1,1,1,1,1,5,ANE,
Senecio_massaicus,Asteraceae,1,NP,,0,0,0,1,1,1,1,4,ANE,
Sonchus_acaulis,Asteraceae,1,End,,0,0,0,1,1,0,0,2,ANE,
Sonchus_asper,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,ANE,
Cutandia_memphitica,Poaceae,1,NP,presence,0,0,0,1,1,1,1,4,ANE,
Sonchus_bourgeaui,Asteraceae,1,NS,,0,0,0,0,1,1,1,3,ANE,
Launaea_mucronata,Asteraceae,1,NP,presence,0,0,0,0,0,1,0,1,ANE,
Sonchus_canariensis,Asteraceae,1,End,,0,0,0,1,1,0,0,2,ANE,
Sonchus_congestus,Asteraceae,1,End,,0,0,0,1,1,0,0,2,ANE,
Sonchus_fauces-orci,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Sonchus_gomerensis,Asteraceae,1,End,,0,0,1,0,0,0,0,1,ANE,
Sonchus_hierrensis,Asteraceae,1,End,,1,1,1,0,0,0,0,3,ANE,
Sonchus_lidii,Asteraceae,1,End,,1,0,0,0,0,0,0,1,ANE,
Sonchus_pinnatifidus,Asteraceae,1,NS,,0,0,0,0,0,1,1,2,ANE,
Sonchus_pitardii,Asteraceae,1,End,,1,0,0,0,0,0,0,1,ANE,
Sonchus_radicatus,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Sonchus_tectifolius,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Sonchus_tenerrimus,Asteraceae,1,NO,,1,0,1,1,1,1,1,6,ANE,
Sonchus_tuberifer,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Spergula_fallax,Caryophyllaceae,1,NP,,1,0,1,1,1,1,1,6,ANE,
Spergularia_fimbriata,Caryophyllaceae,1,NP,,0,0,0,1,1,1,1,4,ANE,
Spergularia_media,Caryophyllaceae,1,NO,,0,0,1,1,1,1,1,5,ANE,
Tamarix_africana,Tamaricaceae,1,NS,,0,0,0,1,1,1,1,4,ANE,
Matthiola_bolleana,Brassicaceae,1,End,presence,0,0,0,0,0,1,1,2,ANE,
Tolpis_crassiuscula,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Tricholaena_teneriffae,Poaceae,1,NS,,1,1,1,1,1,1,1,7,ANE,
Trifolium_arvense,Fabaceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
Trifolium_campestre,Fabaceae,1,NP,,1,1,1,1,1,1,1,7,ANE,
