"","Gal.corr","Gal.pval","Can.corr","Can.pval","Az.corr","Az.pval"
"All",0.3724,0.2159,0.7609,0.0222,0.4212,0.1983
"Nonad",0.3497,0.259,0.6779,0.056,0.4843,0.1486
"Tha",0.3724,0.2186,0.8375,0.0069,0.3142,0.4889
"Litt",0.5949,0.0115,0.811,0.0063,0.2772,0.5736
"Litt.excl",0.5527,0.0181,0.4683,0.3758,0.1588,0.8694
