"","Gal.corr","Gal.pval","Can.corr","Can.pval","Az.corr","Az.pval"
"All",0.5686,0.0396,0.8852,0.001,0.2855,0.6758
"Tha",0.518,0.0884,0.9085,0.0012,0.2595,0.8013
"Litt",0.5992,0.0243,0.889,0.0018,0.2293,0.8543
"Litt.excl",0.5088,0.1003,0.5263,0.2909,0.2923,0.7201
"Fleshy",0.5139,0.0884,NA,NA,NA,NA
