"","Gal.corr","Gal.pval","Can.corr","Can.pval","Az.corr","Az.pval"
"All",0.6099,0.0205,0.8447,0.006,0.2938,0.628
"Nonad",0.595,0.0252,0.7882,0.0192,0.4399,0.3367
"Tha",0.6099,0.0193,0.9161,0.001,0.2187,0.8546
"Litt",0.65,0.0087,0.9049,0.0012,0.2125,0.8569
"Litt.excl",0.4964,0.1118,0.5192,0.3198,0.2675,0.7544
