Family,name_species,littoral,UNS,END,EPI,THA,ANE,Shaeffer_SDD_syndrome,SMR,SMG,TER,GRA,SJG,PIC,FAI,FLO,COR
Rosaceae,Fragaria_vesca,,,1,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Rhamnaceae,Frangula_azorica,,,1,,,,endozoochorous,0,1,1,0,1,1,1,1,0
Frankeniaceae,Frankenia_pulverulenta,1,0.33,,0.33,0.33,,anemochorous,1,1,1,1,1,1,1,1,1
Rubiaceae,Galium_saxatile,,1,,,,,epizoochorous,0,0,0,0,0,0,1,0,0
Poaceae,Gaudinia_coarctata,,0.5,,,,0.5,epizoochorous,1,1,1,1,1,1,1,1,1
Asteraceae,Gnaphalium_luteoalbum,,,,0.5,,0.5,anemochorous,1,1,1,1,1,1,1,1,1
Araliaceae,Hedera_azorica,,,1,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Apiaceae,Helosciadium_nodiflorum,,1,,,,,hydrochorous,1,1,1,0,1,0,0,1,0
Poaceae,Holcus_azoricus,,0.33,,0.33,,0.33,hydrochorous,1,1,1,0,1,1,1,0,0
Poaceae,Holcus_rigidus,,0.33,,0.33,,0.33,hydrochorous,1,1,1,1,1,1,1,1,1
Apiaceae,Hydrocotyle_vulgaris,1,0.5,,,0.5,,hydrochorous,0,1,1,0,1,1,1,1,0
Hypericaceae,Hypericum_elodes,,1,,,,,epizoochorous,0,1,0,0,0,1,0,0,0
Hypericaceae,Hypericum_foliosum,,1,,,,,anemochorous,1,1,1,1,1,1,1,1,1
Hypericaceae,Hypericum_humifusum,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Hypericaceae,Hypericum_undulatum,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,1
Aquifoliaceae,Ilex_perado,,,1,,,,endozoochorous,1,1,1,0,1,1,1,1,1
Cyperaceae,Isolepis_cernua,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Cyperaceae,Isolepis_fluitans,,1,,,,,epizoochorous,0,1,1,1,1,1,1,0,0
Cyperaceae,Isolepis_setacea,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Juncaceae,Juncus_acutus,1,0.5,,,0.5,,epizoochorous,1,1,1,1,1,1,1,1,1
Juncaceae,Juncus_articulatus,,1,,,,,epizoochorous,1,1,1,0,1,0,0,1,1
Juncaceae,Juncus_bufonius,,0.5,,0.5,,,epizoochorous,1,1,1,1,1,1,1,1,1
Juncaceae,Juncus_bulbosus,,1,,,,,epizoochorous,0,1,1,0,0,0,1,1,1
Juncaceae,Juncus_capitatus,,1,,,,,epizoochorous,1,1,1,0,1,1,1,1,1
Juncaceae,Juncus_maritimus,1,,,,1,,epizoochorous,0,0,1,0,0,1,0,0,0
Asteraceae,Lactuca_watsoniana,,,,,,1,anemochorous,0,1,1,0,1,1,1,0,0
Lauraceae,Laurus_azorica,,,1,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Asteraceae,Leontodon_filii,,,,,,1,anemochorous,0,0,1,0,1,1,1,0,0
Asteraceae,Leontodon_rigens,,,,,,1,anemochorous,0,0,0,0,0,0,0,1,1
Asteraceae,Leontodon_sp,,,,,,1,anemochorous,0,1,0,0,0,0,0,0,0
Plumbaginaceae,Limonium_sp,1,,,,0.5,0.5,anemochorous,1,1,1,0,0,1,0,0,1
Plantaginaceae,Littorella_uniflora,,1,,,,,epizoochorous,0,1,1,0,1,1,1,1,1
Campanulaceae,Lobelia_urens,,1,,,,,anemochorous,0,0,1,0,0,0,1,1,0
Fabaceae,Lotus_azoricus,,1,,,,,autochorous,1,1,0,0,1,1,0,1,0
Juncaceae,Luzula_purpureosplendens,,0.5,,0.5,,,epizoochorous,0,1,1,0,1,1,1,1,1
Myrsinaceae,Lysimachia_azorica,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,1
Lythraceae,Lythrum_portula,,1,,,,,epizoochorous,0,1,1,0,1,1,1,1,0
Myricaceae,Morella_faya,,,1,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Boraginaceae,Myosotis_azorica,,0.5,,0.5,,,epizoochorous,0,0,0,0,0,0,0,1,1
Boraginaceae,Myosotis_maritima,1,0.5,,0.5,,,hydrochorous,1,0,1,0,1,1,1,1,1
Poaceae,Nardus_stricta,,0.5,,0.5,,,epizoochorous,0,1,0,0,0,0,0,0,0
Fabaceae,Ornithopus_pinnatus,,1,,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Orobanchaceae,Orobanche_hederae,,1,,,,,anemochorous,1,0,0,0,0,0,1,0,0
Oleaceae,Picconia_azorica,,,1,,,,endozoochorous,1,1,1,0,1,1,1,1,1
Plantaginaceae,Plantago_coronopus,,0.5,,0.5,,,epizoochorous,1,1,1,1,1,1,1,1,1
Orchidaceae,Platanthera_azorica,,0.5,,,,0.5,anemochorous,0,1,0,0,0,1,1,1,0
Orchidaceae,Platanthera_micrantha,,0.5,,,,0.5,anemochorous,1,1,1,0,1,1,1,1,1
Polygonaceae,Polygonum_maritimum,1,,,,1,,hydrochorous,0,1,1,0,0,1,1,0,0
Potamogetonaceae,Potamogeton_lucens,,1,,,,,epizoochorous,0,1,0,0,0,0,0,0,0
Potamogetonaceae,Potamogeton_nodosus,,1,,,,,epizoochorous,1,0,0,0,0,1,0,0,0
Potamogetonaceae,Potamogeton_polygonifolius,,1,,,,,epizoochorous,0,1,1,1,1,1,1,1,1
