Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Acanthaceae,Blechum,polypodioides,1,NaQ,1,7,,,1,,1,,1,1,1,1,,1,,,1,0,0,0,0,,
Amaranthaceae,Blutaparon,rigidum,,En,1,1,,,,,,,,,,,,1,1,Achene,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,erecta,1,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,coccinea,1,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,0,0,1,0,0,,
Rubiaceae,Borreria,perpusilla,1,En,1,5,,,1,,,,,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,linearifolia,1,En,1,6,,1,1,,1,,1,,,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,suberecta,1,En,1,8,,1,,,1,1,1,1,1,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,ericaefolia,1,En,1,9,,1,1,1,1,,1,1,1,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,rotundifolia,,En,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,dispersa,1,NaQ,1,6,,,1,,1,,1,1,1,1,,1,,,1,0,0,0,0,,
Poaceae,Bouteloua,disticha,,NaQ,1,10,1,1,1,,1,,1,1,1,1,1,1,1,Caryopside,0,0,1,0,0,,
Apiaceae,Bowlesia,palmata,,Id,1,2,,1,,,,,,,,1,,,1,Schizocarp,0.5,0,0.5,0,0,,
Poaceae,Brachiaria,multiculma,1,En,1,11,1,1,1,1,1,,1,1,1,1,1,1,,,1,0,0,0,0,,
Cactaceae,Brachycereus,nesioticus,1,En,1,6,,1,,1,1,,1,,,1,,1,1,Berry,0,1,0,0,0,,
Asteraceae,Brickellia,diffusa,1,Id,1,5,,1,,,1,,,1,,1,,1,1,Achene,0,0,0,0,1,,
,Buddleja,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cyperaceae,Bulbostylis,juncoides,1,Id,1,8,,1,1,,1,1,1,,1,1,,1,1,Achene,1,0,0,0,0,,
Burseraceae,Bursera,graveolens,1,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Drupe,0,1,0,0,0,,
Portulacaceae,Calandrinia,galapagosa,1,En,1,1,,,,,,,,,1,,,,,Capsule,1,0,0,0,0,,
Scrophulariaceae,Calceolaria,meistantha,,Id,1,2,,1,,,1,,,,,,,,1,Capsule,1,0,0,0,0,,
,Callitriche,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Canavalia,rosea,1,Id,1,4,,,,,1,1,1,,,,,1,,,0,0,0,1,0,,
Cannaceae,Canna,lambertii,1,Id,1,2,,,,,,,,,,1,,1,1,Capsule,0.5,0,0,0.5,0,,
Scrophulariaceae,Capraria,biflora,1,Id,1,5,,,1,,1,,,1,1,1,,,2,Capsule,1,0,0,0,0,,
Scrophulariaceae,Capraria,peruviana,1,Id,1,6,,,1,,1,,,1,1,1,,1,2,Capsule,1,0,0,0,0,,
Solanaceae,Capsicum,galapagoense,,En,1,2,,,,,1,,,,,1,,,1,Berry,0,1,0,0,0,,
Sapindaceae,Cardiospermum,galapageium,1,En,1,5,,,1,,1,,,,1,1,,1,1,Capsule,0,0,0,0.5,0.5,Two syndromes,
Sapindaceae,Cardiospermum,corindum,1,Id,1,6,,,1,,1,,,1,1,1,,1,1,Capsule,0,0,0,0.5,0.5,Two syndromes,
Simaroubaceae,Castela,galapageia,1,En,1,11,1,1,1,,1,1,1,1,1,1,1,1,1,Drupe,0,1,0,0,0,,
Scrophulariaceae,Castilleja,arvensis,,Id,1,3,,1,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Poaceae,Cenchrus,platyacanthus,1,En,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Caryopside,0,0,1,0,0,,
Apiaceae,Centella,asiatica,,Id,1,5,,,,,1,,,1,1,1,,1,1,Schizocarp,1,0,0,0,0,,
