island,lat,long
Espanola,-1.3759078,-89.6747402
Fernandina,-0.3926998,-91.5126588
Floreana,-1.3067074,-90.4368064
Genovesa,0.3254391,-89.9525289
Isabela,-0.4772315,-91.0753663
Marchena,0.3317599,-90.4718246
Pinta,0.5834898,-90.7549486
Pinzon,-0.6117475,-90.6654818
SanCristobal,-0.8335085,-89.4251632
SantaCruz,-0.6304953,-90.3576057
SantaFe,-0.8198982,-90.0652902
Santiago,-0.276068,-90.7017772
