Family,Genus ,Species,littoral,Used_for_the_AoB_paper,origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Acanthaceae,Blechum,pyramidatum,,,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Blechum,polypodioides,,,NaQ,1,7,,,1,,1,,1,1,1,1,,1,,,1,0,0,0,0,,
Amaranthaceae,Blutaparon,rigidum,,,En,1,1,,,,,,,,,,,,1,1,Achene,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,erecta,,,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,coccinea,,,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,0,0,1,0,0,,
Rubiaceae,Borreria,perpusilla,,,En,1,5,,,1,,,,,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,linearifolia,,,En,1,6,,1,1,,1,,1,,,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,suberecta,,,En,1,8,,1,,,1,1,1,1,1,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,ericaefolia,,,En,1,9,,1,1,1,1,,1,1,1,,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,rotundifolia,,,En,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Rubiaceae,Borreria,dispersa,,,NaQ,1,6,,,1,,1,,1,1,1,1,,1,,,1,0,0,0,0,,
Poaceae,Bouteloua,disticha,,,NaQ,1,10,1,1,1,,1,,1,1,1,1,1,1,1,Caryopside,0,0,1,0,0,,
Apiaceae,Bowlesia,palmata,,,Id,1,2,,1,,,,,,,,1,,,1,Schizocarp,0.5,0,0.5,0,0,,
Poaceae,Brachiaria,multiculma,,,En,1,11,1,1,1,1,1,,1,1,1,1,1,1,,,1,0,0,0,0,,
Cactaceae,Brachycereus,nesioticus,,,En,1,6,,1,,1,1,,1,,,1,,1,1,Berry,0,1,0,0,0,,
Asteraceae,Brickellia,diffusa,,,Id,1,5,,1,,,1,,,1,,1,,1,1,Achene,0,0,0,0,1,,
,Buddleja,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cyperaceae,Bulbostylis,juncoides,,,Id,1,8,,1,1,,1,1,1,,1,1,,1,1,Achene,1,0,0,0,0,,
Burseraceae,Bursera,graveolens,,,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Drupe,0,1,0,0,0,,
Portulacaceae,Calandrinia,galapagosa,,,En,1,1,,,,,,,,,1,,,,,Capsule,1,0,0,0,0,,
Scrophulariaceae,Calceolaria,meistantha,,,Id,1,2,,1,,,1,,,,,,,,1,Capsule,1,0,0,0,0,,
,Callitriche,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Canavalia,rosea/MARITIMA,exclusive,,Id,1,4,,,,,1,1,1,,,,,1,,,0,0,0,1,0,,
Cannaceae,Canna,lambertii,,,Id,1,2,,,,,,,,,,1,,1,1,Capsule,0.5,0,0,0.5,0,,
Scrophulariaceae,Capraria,biflora,,,Id,1,5,,,1,,1,,,1,1,1,,,2,Capsule,1,0,0,0,0,,
Scrophulariaceae,Capraria,peruviana,,,Id,1,6,,,1,,1,,,1,1,1,,1,2,Capsule,1,0,0,0,0,,
Solanaceae,Capsicum,galapagoense,,,En,1,2,,,,,1,,,,,1,,,1,Berry,0,1,0,0,0,,
Sapindaceae,Cardiospermum,galapageium,,Two syndromes,En,1,5,,,1,,1,,,,1,1,,1,1,Capsule,0,0,0,0.5,0.5,Two syndromes,
Sapindaceae,Cardiospermum,corindum,,Two syndromes,Id,1,6,,,1,,1,,,1,1,1,,1,1,Capsule,0,0,0,0.5,0.5,Two syndromes,
Simaroubaceae,Castela,galapageia,presence,,En,1,11,1,1,1,,1,1,1,1,1,1,1,1,1,Drupe,0,1,0,0,0,,
Scrophulariaceae,Castilleja,arvensis,,,Id,1,3,,1,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Poaceae,Cenchrus,platyacanthus,,,En,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Caryopside,0,0,1,0,0,,
Apiaceae,Centella,asiatica,,,Id,1,5,,,,,1,,,1,1,1,,1,1,Schizocarp,1,0,0,0,0,,
,Ceratophyllum,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,
Euphorbiaceae,Chamaesyce,abdita,,,En,1,4,1,,,1,,,,,,1,1,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,galapageia,,,En,1,6,,1,1,,1,,1,,,1,,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,nummularia,,,En,1,9,1,,1,1,1,,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,viminea,,,En,1,10,,1,1,1,1,1,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,amplexicaulis,,,En,1,11,1,,1,1,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,recurva,,,En,1,11,1,1,1,1,1,,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Chamaesyce,punctulata,,,En,1,11,1,1,1,,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rubiaceae,Chiococca,alba,,,Id,1,10,1,1,1,,1,1,1,1,1,1,,1,1,Drupe,0,1,0,0,0,,
,Chloris,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,
Asteraceae,Chrysanthellum,pusillum,presence,,En,1,7,1,1,1,,1,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Menispermaceae,Cissampelos,glaberrima,,,Id,1,2,,,,,,,,,,1,,1,2,Drupe,0,0.5,0.5,0,0,,
Menispermaceae,Cissampelos,pareira,,Two syndromes,Id,1,8,,1,1,,1,,1,1,1,1,,1,2,Drupe,0,0.5,0.5,0,0,Two syndromes,
Vitaceae,Cissus,verticillata,,,Id,1,6,,1,1,,1,1,,,1,1,,,1,Berry,0,1,0,0,0,,
Verbenaceae,Clerodendrum,molle,,,Id,1,5,,,1,,1,,,,1,1,,1,,,0,0,0,1,0,,
Commelinaceae,Commelina,diffusa,,,Id,1,8,,1,1,,1,,1,1,1,1,,1,1,Capsule,1,0,0,0,0,,
Nyctaginaceae,Commicarpus,tuberosus,,Two syndromes,Id,1,8,1,,1,1,1,,,1,1,1,,1,1,Achene,0,0,0.5,0.5,0,Two syndromes,
Combretaceae,Conocarpus,erectus,exclusive,Two syndromes,Id,1,7,,1,,,1,1,1,,1,1,,1,1,Drupe-like,0,0,0,0.5,0.5,Two syndromes,exclusive
,Convolvulus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiliaceae,Corchorus,orinocensis,,,Id,1,7,1,1,1,,1,,1,1,,1,,,1,Capsule,1,0,0,0,0,,
Boraginaceae,Cordia,polycephala,,,Id,1,1,,,,,1,,,,,,,,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,revoluta,,,En,1,4,,1,1,,1,,,,,,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,leucophlyctis,,,En,1,6,,1,1,,1,,,,1,1,,1,,,0,1,0,0,0,,
Boraginaceae,Cordia,scouleri,,,En,1,6,,,1,,1,,1,,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,anderssonii,,,En,1,8,1,,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Cordia,lutea,,Two syndromes,Id,1,11,1,,1,1,1,1,1,1,1,1,1,1,2,Drupe,0,0.5,0.5,0,0,Two syndromes,
,Coronopus,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Orchidaceae,Cranichis,schlimii,,,Id,1,2,,1,1,,,,,,,,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Cranichis,lichenophila,,,En,1,1,,,,,1,,,,,,,,3,Capsule,0,0,0,0,1,,
Orchidaceae,Cranichis,werffii,,,EnQ,1,2,,,,,1,,,,,1,,,3,Capsule,0,0,0,0,1,,
,Crassula,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Convolvulaceae,Cressa,truxillensis,,,Id,1,1,,,,,,,,,1,,,,1,Capsule,1,0,0,0,0,,
Fabaceae,Crotalaria,incana,,,Id,1,8,,1,,,1,1,1,,1,1,1,1,2,Pod,1,0,0,0,0,,
Fabaceae,Crotalaria,pumila,,,Id,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Pod,1,0,0,0,0,,
Euphorbiaceae,Croton,scouleri,,,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Capsule,1,0,0,0,0,,
Nyctaginaceae,Cryptocarpus,pyriformis,exclusive,,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Achene,0,0,0,1,0,,presence
Lythraceae,Cuphea,carthagenensis,,,Id,1,4,,,,,1,,,,1,1,,1,1,Capsule,0,0,0,1,0,,
Convolvulaceae,Cuscuta,gymnocarpa,,,En,1,7,1,1,1,1,1,,,,,1,,1,2,Capsule,1,0,0,0,0,,
Convolvulaceae,Cuscuta,acuta,,,En,1,8,1,1,1,1,1,1,,,,1,,1,2,Capsule,1,0,0,0,0,,
