island;age
Espanola;3.25
Fernandina;0.0525
Floreana;1.9
Genovesa;0.3
Isabela;0.65
Marchena;0.6
Pinta;0.7
Pinzon;1.5
San_Cristobal;3.2
Santa_Cruz;1.7
Santa_Fe;2.9
Santiago;1.1
