"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.398647427226833,0.140072037846185,2.84601718770304,0.0044269805328521
"betweenness",0.397299905703208,0.144407437878845,2.75124267516286,0.00593696436074084
