"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.309602404030933,0.212172647604546,1.45920036124534,0.144509969425047
"closeness",0.27238236809251,0.224722461811245,1.21208341123148,0.225480453090832
