"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.259950780901383,0.368812375535166,0.704832045085744,0.48091476373928
"closeness_scaled",0.0618176278723948,0.457851593891401,0.135016736202643,0.892598641920041
"closeness_geo_scaled",0.362799759234439,0.438325694716059,0.827694482910602,0.407843544403068
