"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.7583620232553,0.220019917523768,-7.99183111713216,0.00000000000000132949082863619
"closeness",0.312561545677544,0.326945195774005,0.956005929182078,0.339069238949222
