"","(Intercept)","betweenness"
"Azores",0.000000000218438668357952,0.0000000000246620391678828
"Canaries",-0.000000000382431295192684,-0.0000000000413281568758283
"Galapagos",0.000000000163992626641952,0.0000000000166661176346449
