"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",0,5074.58941467736,4290.4173197786,2134.27174050593,4129.7971361907,5068.46215521509,4600.09217678315,5279.42518783049,5861.19006930572,6594.70903784873,5852.18862826243,4794.56488012082,4156.75014918837,5264.49584140883,4936.48804451417,5102.63919476411,2563.096111029,3772.89786324712,4130.72858194807,3379.92602034297,1906.44058472259,2247.71836572877,1610.10011964424,2064.52271065438,3128.24078142133,3941.67427486033,3942.11115533315,3141.86528213056,4335.40435514439,3217.55840417587,3996.07213475095,3389.42537630528,3846.37446968822,3491.26928239142,2929.57769756282,2938.15770311788,2234.82160307802,2083.5026962677,3104.15565528211,4672.92936043796,6725.38461606158,5109.44620395114,6101.18661365106,5431.53297318832,6974.94428858891,5343.7246868168
"2",5074.58941467736,0,2352.0965735214,3256.06787420567,1859.38047945851,1471.76623893944,2056.87171939691,1307.57470346322,3443.79456436754,5299.73778514485,3161.5900772504,4414.91406890525,2535.61418636786,3300.24812359904,3264.55600798503,3121.21905535777,2864.11788647515,2840.50770069267,3011.58553121053,2801.51511768214,3371.5980908434,5952.92543615838,4294.80271053097,5687.43190181898,4874.73624089149,6050.73706598257,6965.53348014065,6046.81566013868,6500.77030959484,6185.24004056604,7234.60804156551,6623.79112479715,6914.8350113894,6690.56794704826,6061.87539793858,3425.7546491436,3082.26564877903,4253.42251130767,5375.5705652247,4921.63907523815,7575.17331240535,6827.06592891903,7605.50435761758,6002.88031574666,7864.9108114727,6122.74265789296
"3",4290.4173197786,2352.0965735214,0,4765.58048195061,1650.69682117932,1919.07532230517,3458.36482947404,1705.53149667722,2632.57568964755,3019.64759831341,2644.00129613187,2888.41402340295,3277.55365216871,4352.22932677692,3944.96010577699,4100.86081556889,2088.62391586885,2935.20103528739,3349.83278147217,2657.1249821631,4591.39056878131,4093.6628439788,4728.12256298591,4112.20638822315,5337.88019843926,4606.64190882393,4810.8372694214,4126.05807311792,4463.41665175173,4222.17392598434,5500.53998401367,4663.32061477211,4828.68561752213,5175.47354109676,5150.67776610266,3358.58917343667,3387.53446510809,4874.19421209644,5156.44033605869,5080.78906709908,7446.19880255952,6412.45898975401,7204.98664036674,5983.86997325908,7703.15383123455,6125.70625715794
"4",2134.27174050593,3256.06787420567,4765.58048195061,0,3959.03804572417,2781.64164618955,3765.65586287338,3088.96068854589,3024.92911916423,4730.70174136199,3340.16177433775,3931.57355751889,3316.55318899061,3877.23669833287,3959.85181435248,3792.84829072269,3416.4485108363,3608.56329386523,3882.50128172536,3770.23063290097,1343.25433424674,5107.44924267865,2452.60903534029,4604.92335136193,3108.63690470121,4792.9168282972,6344.41374646399,5460.15515063655,6024.05595450698,5558.84717963898,5797.43357712932,5529.22436634331,6108.38738722133,5213.85754113923,4476.97560608895,2342.84125449503,1696.42177037796,2551.50889564454,3758.95963055609,4133.57052866876,6361.58700045674,5640.7326380314,6364.44510600757,5031.22465959623,6631.44430791559,5233.9467083798
"5",4129.7971361907,1859.38047945851,1650.69682117932,3959.03804572417,0,1345.03221472913,2271.8280133179,1094.76992684604,2070.53256933515,2392.41580512758,2046.49800745233,2311.90311842659,3041.09629962128,4120.30081641544,3703.11072774603,3748.57222035585,2016.54608879616,2700.95259387091,3119.39958551546,2513.70773635692,3920.84722356959,3843.54720128782,4318.08165839523,3880.87937841292,4927.9633696897,4729.75539408716,4504.47360059061,3882.06280916423,4198.51712447989,3957.62175226115,5089.05094723325,4366.92436555919,4510.71331520775,4779.53789899386,4757.32185959514,2737.0056149952,2814.01632122956,4429.13485253668,4813.71804775175,4398.50659181863,6818.39967694815,5847.23270522692,6661.11438940978,5335.72789320126,7082.11513138565,5479.86391928019
"6",5068.46215521509,1471.76623893944,1919.07532230517,2781.64164618955,1345.03221472913,0,758.657503507687,895.115902376876,1511.29156311292,2036.90878966234,1693.51347647518,1770.11770043647,2121.07210620668,3208.20828412828,2880.59501477013,2974.66949196254,2113.39853081283,2126.28725857103,2369.9577221656,2030.26475770431,2906.27771839363,4817.34885651089,3871.38529406618,4772.11503468237,4422.80426640558,5035.88954887789,5329.84380594161,4701.93302543101,4930.11922885693,4789.7257663765,5938.72031798767,5152.67963597466,5363.64394740806,5523.44570724031,5046.53009216102,2101.84166029923,2147.018814131,3846.51096038101,4752.43226329055,3583.98410815812,6065.5186502722,5577.29429345954,6276.33231283006,4597.90452004688,6311.4812743467,4829.44158903145
"7",4600.09217678315,2056.87171939691,3458.36482947404,3765.65586287338,2271.8280133179,758.657503507687,0,1652.75380678248,1641.85191474576,1648.62680557661,1354.97024910165,1879.69026233529,2417.20008964589,3467.7683178388,3086.34287852681,2621.33832482445,1927.18557360503,2132.83733076822,2501.1469918132,2114.9698396681,3766.84413777766,4249.81252749867,4369.91655647546,4292.9827502675,5024.57529459637,4765.28840561364,4805.04561810368,4211.51487703237,4485.07309005107,4294.86750875981,5223.2295760516,4616.80137909017,4833.23597790843,4913.63401469728,4777.42682823415,2439.02209870414,2617.96681507243,4440.38398853458,4895.66382790417,4085.03385135401,6489.13585884711,5658.67157210101,6416.8664065312,5040.40485524782,6745.5789860988,5192.90831869216
"8",5279.42518783049,1307.57470346322,1705.53149667722,3088.96068854589,1094.76992684604,895.115902376876,1652.75380678248,0,1622.99162033135,2032.7898545241,1685.03885894164,1875.34608068717,2623.89302856324,3600.74650046239,3347.19215829843,3366.7269644833,2325.73676131115,2688.41881639623,2937.39329453012,2554.85481757005,3182.21295249785,4733.905463888,4131.99615225473,4746.16819836929,4646.48926640362,5039.83195382123,5267.91920967197,4593.19567828807,4851.03116030721,4692.97925727187,5915.71513648883,5084.63376726918,5307.00049186811,5478.435177801,5019.83030111465,2228.69971162146,2272.83695234309,4082.54519480088,4856.25494666412,3788.59413014029,6259.45328817678,5656.56162388735,6388.20371343905,4778.90851533731,6525.49003945496,4967.61175270452
"9",5861.19006930572,3443.79456436754,2632.57568964755,3024.92911916423,2070.53256933515,1511.29156311292,1641.85191474576,1622.99162033135,0,3210.01601451855,1335.78524455703,645.707370133923,1580.26964139989,2145.40833522232,2283.97082832861,2065.36291422072,2701.63558343684,2177.25031374172,2204.53081387111,2407.1595790763,3133.40855640849,6361.11052686614,4012.61612606563,5990.59670579054,4601.00608432567,6394.85368435028,7390.57020316955,6552.24232563912,7016.59595988753,6637.13645956859,7277.64492494274,6768.30953724042,7275.65556684322,6690.07986697347,5338.29322275895,1240.65733363828,1777.86315147971,3980.13976528296,5172.91808318445,2627.42902630709,5115.76428114776,5075.66856351101,5562.23110248347,3640.1652118329,5372.68257626997,3942.00295721465
"10",6594.70903784873,5299.73778514485,3019.64759831341,4730.70174136199,2392.41580512758,2036.90878966234,1648.62680557661,2032.7898545241,3210.01601451855,0,928.637023727687,1475.24421441238,1302.21549132603,1665.3176551644,1902.32252033662,1649.32638340984,2666.95262080491,2076.73368283015,2040.9298668759,2305.12778027845,4728.02988052322,7383.50520471935,5311.80148882106,7067.40645016966,5934.51142886213,6880.12634570286,8348.66460896933,7494.39627321775,7874.52863132149,7604.23789674961,8482.99152908321,7873.54331875704,8333.99165600178,7936.11406476195,6750.60322187091,2234.06149618424,3439.8110368191,5356.09303004266,6480.145907464,3450.28387299545,5873.68321209629,5927.66752212246,6335.86653588564,4455.09143129128,6138.18274450823,4764.77168759144
