"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",0,377.142431844361,322.938599482978,31.5425820323785,375.906690763675,596.094396203782,398.815461115295,430.773393706951,411.784001450498,787.922935986969,582.555544585203,357.09371069328,819.199375034004,891.368619611316,778.988431715776,914.894450637169,245.745409703201,411.154594980686,745.71649329795,409.519268615009,69.1301763674053,202.440919297033,73.7996397434459,151.626675966634,253.440012698106,435.871131319456,367.386046696872,328.857821416225,270.741843475697,330.599169626655,585.1350070718,424.148700348161,348.556910200226,451.411464708084,532.076135627185,380.214511217896,156.166391405897,137.882042523678,299.039467653816,825.512671438733,1105.47956846871,890.256082306276,1087.58220596031,940.792259862384,1166.76378852188,954.148935104925
"2",377.142431844361,0,188.293752146003,184.905773298687,45.5642324726809,100.020013133636,264.689741995065,11.3359508864891,289.61520021506,376.643606242398,84.8263670740991,161.749548600024,269.088256519401,299.19497273471,369.602602214614,190.687343382393,307.271142296578,253.709215724478,343.238054396494,280.326872065921,207.248455130459,658.959612102999,249.188393995674,457.429798577914,343.379276970166,838.136416412943,918.37655106874,726.612500077233,683.35242207248,807.366080061644,1250.41153940242,946.636971171925,1103.47150316507,1045.02701530123,693.008218785701,419.307867502357,111.565622216831,256.655433047948,510.033605302606,776.504603143371,1057.55115900895,1039.15009255858,1315.21475132279,1123.97022421782,1357.72477311356,846.400554951968
"3",322.938599482978,188.293752146003,0,522.128727448397,0.752241220851893,34.8994395717158,35.5794524241408,0.809627948116777,187.024073052372,267.08667202861,167.682705981138,285.462700650849,242.637395313439,387.118019756318,343.151741008652,295.020744152421,94.6318320954036,262.32623017023,466.295822698466,198.119620565118,623.136283428822,338.562321760815,455.698671820925,370.257359674507,668.219311958017,443.549339091323,583.01615698717,281.426943254391,229.409987878901,354.765034153301,660.701531631275,364.222894859443,574.129249206723,391.485659219365,597.574757016948,439.098861597548,292.588605329386,642.290335808784,670.598199321557,845.058329381202,1311.64330132207,955.677334543254,1269.50183354038,1064.1995252023,1396.07808890119,1045.6170036499
"4",31.5425820323785,184.905773298687,522.128727448397,0,424.012825466215,262.973996802253,286.447028930703,332.34861757581,198.846595360727,591.18702254109,326.761640770982,123.274876543489,545.311988382429,422.849035099934,583.169534567965,547.17044123398,582.08956434129,553.600888155235,659.994296964733,650.861237200675,0.961538415867838,280.021747237699,142.057964793352,146.852944295038,174.38540071742,315.688893876346,660.943354024009,325.672821496599,449.230929505369,510.421284821765,715.819375329029,573.428771053972,642.114217527363,669.912323821086,538.142621605498,329.529338655578,157.366461790164,142.714316403213,326.633120924801,719.004360951355,1004.57298962825,914.462152160236,1190.52681092445,879.922504149995,1105.89403280949,918.267991191691
"5",375.906690763675,45.5642324726809,0.752241220851893,424.012825466215,0,128.792125700111,0.86232530195217,0.336717498857514,147.299556885298,290.684555018608,207.575657975886,253.490931529203,365.416790456184,522.409087996311,255.673948137445,399.638008512595,162.399627799151,189.140678717732,318.076672123205,204.557997957202,360.251676880938,429.74867350159,675.759305907253,458.433153456621,852.185633132694,354.982902719894,645.194607580107,359.242968950335,345.915495659745,477.932924594672,862.620190442434,584.983957703452,686.106300772098,534.581761065952,656.702155309379,391.422262425125,369.651443015318,398.258818020817,769.733933793844,658.090719643616,1093.20751373915,893.736575150172,1192.94552807975,928.520205132821,1154.49173379231,890.714967464867
"6",596.094396203782,100.020013133636,34.8994395717158,262.973996802253,128.792125700111,0,0.794501963596381,1.72465060390434,155.499533397045,289.571144858229,221.755237782142,242.774526074113,85.7715592374155,282.391828346974,218.165418134268,208.781528300789,198.757751564255,150.078155214387,220.434606309302,147.158990644108,286.630506372713,488.459136283201,338.983798194189,607.460416729118,422.00023151784,443.691297959868,836.254503250545,427.961257094938,411.427116783506,477.597619067798,749.59455010922,487.05547977394,732.403769758885,514.318244133862,805.729418581876,314.590441150417,78.7362711690102,369.086338877281,572.469327619601,622.855525520653,1069.88254175658,1036.72767414061,1206.79141334844,891.400997718785,1131.16676180974,855.479773341905
"7",398.815461115295,264.689741995065,35.5794524241408,286.447028930703,0.86232530195217,0.794501963596381,0,101.497603008953,131.704203023936,162.372107645415,92.3183325801977,234.727300858015,273.278917342215,372.039237061756,172.892335279674,274.394981890891,110.786765802827,119.985401945087,189.262494972679,145.998281183668,348.727490615597,451.225815165283,577.683347975354,477.225899672112,790.203988112447,164.313715037321,504.594434478677,307.091111993678,315.853870605091,370.07024075202,637.356753177271,418.145354879649,597.402586952195,435.509441374171,721.689314680945,354.798264384458,230.945382677574,642.625271553666,738.032869961488,684.803001151318,1113.54751722571,883.227295777672,1216.58115611039,897.927442187542,1174.83173727888,917.427248972569
"8",430.773393706951,11.3359508864891,0.809627948116777,332.34861757581,0.336717498857514,1.72465060390434,101.497603008953,0,128.471068436554,226.453361814878,142.713014400526,207.705168698971,207.841307860022,391.749056015897,308.355653555234,291.170960522273,223.959441501903,249.66015175298,345.407880845523,257.407039934661,361.205906340156,396.91943170843,589.905899775416,466.605713044505,594.727598907545,471.032826968146,654.819970792161,301.462331580943,357.087530438428,357.230847504927,693.411248689517,366.688708211068,612.036998196014,393.951472570991,725.996538142459,318.607033672693,137.392137300628,386.554772708241,679.484516428364,601.738431640083,1023.95122888269,965.406629732921,1127.04719578584,859.263920276365,1085.23544893586,834.362679461335
"9",411.784001450498,289.61520021506,187.024073052372,198.846595360727,147.299556885298,155.499533397045,131.704203023936,128.471068436554,0,81.337121278562,14.2857341987272,3.36717498857514,91.3149984546445,282.498893749684,245.517387106591,151.544720955232,293.915076582826,252.840813838707,232.254247436817,357.92286274385,192.807396610574,729.372775182987,285.383392551475,493.598049730581,418.027984795019,610.44209037393,1278.09533280824,1122.12201180259,906.656483649299,1109.53548820379,1146.36558943316,1156.35328078264,1244.40973366364,1125.11482112815,811.555032775912,135.692647417983,62.4983829595467,367.922093256175,676.629741791161,371.35655944946,737.280507213349,710.458770806018,935.569218386542,519.511330877364,907.441181922725,516.508276318196
"10",787.922935986969,376.643606242398,267.08667202861,591.18702254109,290.684555018608,289.571144858229,162.372107645415,226.453361814878,81.337121278562,0,0.283978613494289,90.9861809600778,95.6758421854597,145.208864608616,256.24293042365,126.120995776144,264.226508975869,328.744175647111,341.065121640892,238.521076525397,480.184107121657,1147.32104870566,637.680536161943,963.453636505079,755.49604209262,937.772733048931,1650.04677280318,1153.64442672044,1134.33035056343,1321.32254222674,1498.67307158546,1582.93977743663,1630.28644476524,1482.08988997323,1099.57560479961,246.416379164548,416.551891163396,509.298320033288,868.213085116251,420.706476816664,965.814706580498,823.999278997425,994.947911933294,627.361329237494,1072.4553229795,596.404751754529
