,SantaCruz_N,SantaCruz_S,SantaCruz_E,SantaCruz_W,SantaFe_N,SantaFe_S,SantaFe_E,SantaFe_W,Floreana_N,Floreana_S,Floreana_E,Floreana_W,Espanola_N,Espanola_S,Espanola_E,Espanola_W,SanCristobal_N,SanCristobal_S,SanCristobal_E,SanCristobal_W,Pinzon,Santiago_N,Santiago_S,Santiago_E,Santiago_W,Genovesa,Marchena_N,Marchena_S,Marchena_E,Marchena_W,Pinta_N,Pinta_S,Pinta_E,Pinta_W,Isabela_N,Isabela_S,Isabela_E1,Isabela_E2,Isabela_E3,Isabela_W1,Isabela_W2,Isabela_W3,Fernandina_N,Fernandina_S,Fernandina_E,Fernandina_W
Espanola_W,,,,,,,,,,,,,,,,,,,,,,1392.351522,1034.085242,1492.464518,1192.664405,1204.890981,1692.10356,1202.932481,1257.010269,1323.792727,1833.208463,1506.977589,1700.496133,1552.653959,1670.852482,751.743285,791.4994415,1007.663689,1358.683716,1239.878758,1879.243878,2075.296704,2222.78293,1655.065467,2138.35272,1361.334805
SanCristobal_N,264.7043606,,,,201.3237648,,,,326.9096503,,,,157.5710768,,,,0,,,,777.4902207,685.8594326,672.7241488,614.5976083,1043.862208,717.6092063,637.7381372,573.5566917,391.2050083,669.1649409,716.3443749,779.1123733,694.4979507,868.1256493,1035.311121,850.543532,793.2931009,773.0046116,1089.464583,1455.470522,2056.329732,1704.176969,1990.270628,1765.209354,2298.524172,1766.699789
SanCristobal_S,,,,,,,,,,,,,,,,,,,,,,930.2786154,919.3438065,914.2585161,1103.624345,969.2513339,1071.483217,701.242929,797.4934253,799.3245351,1148.618009,940.8852288,1077.480894,1011.595413,1261.994846,649.7919404,579.6399569,918.1009536,1269.19882,1231.010766,1870.138539,1934.790946,2186.746336,1605.538948,2119.65105,1625.725463
SanCristobal_E,,,,,,,,,,,,,,,,,,,,,,1193.048888,1147.038583,1152.72047,1346.283988,1027.174998,1341.732665,1054.244594,1107.298926,1145.147116,1403.923346,1267.119343,1361.43248,1319.401344,1531.726099,695.7728279,735.6970528,1125.445911,1534.261071,1253.650855,1878.357845,2026.991338,2247.540017,1627.02647,2106.486887,1657.226408
SanCristobal_W,,,,,,,,,,,,,,,,,,,,,,733.5933394,959.3172765,856.4096691,1265.933992,836.1818971,987.7459392,614.208389,686.4935889,728.5075362,1016.066706,868.7170049,965.3893193,918.1051811,1230.002091,898.1784258,888.0256534,1055.971658,1396.704993,1580.764969,2252.055668,2012.582346,2268.906518,1901.609495,2473.97576,1924.329026
Pinzon,193.7006956,,,,514.9963494,,,,356.4416139,,,,755.1587864,,,,777.4902207,,,,0,841.0528438,163.0599571,590.1929808,348.9365602,811.9878059,1328.889266,849.8004194,980.8389307,937.0060766,1501.374159,1113.649584,1284.725931,1252.629922,776.899229,415.0987114,185.5661303,274.2115927,478.9259519,874.7743942,1351.430191,1514.657104,1685.13812,1197.409053,1629.561621,1241.754833
Santiago_N,208.4204283,,,,638.2076133,,,,701.8481582,,,,871.08159,,,,614.5976083,,,,163.0599571,0,731.4117373,22.79018877,368.0446478,580.5173243,513.9576618,527.8617718,337.3850627,435.1124765,732.1559063,757.6919545,504.3877661,648.7573324,376.1864752,1366.031313,865.6249003,458.321211,150.1005576,1522.270926,1718.028964,820.4456726,1045.068106,1435.892216,1797.12468,1086.520483
Santiago_S,,,,,,,,,,,,,,,,,,,,,,731.4117373,0,952.2213809,234.0028049,840.8520367,1249.222848,1336.95602,1120.427524,1243.99401,1498.687981,1409.497497,1303.029992,1320.60796,598.401145,735.9628905,346.4272636,171.238003,347.6184233,1487.761511,2117.670879,1403.444473,1762.086169,1863.219047,2422.136434,1786.59694
Santiago_E,,,,,,,,,,,,,,,,,,,,,,22.79018877,952.2213809,0,753.8185471,560.6947232,776.9611052,785.060775,465.0025398,566.7776558,1025.785543,938.5305183,694.9525456,749.8394336,462.4197919,1453.022885,945.3093023,928.8373659,365.6478637,1768.993757,1953.916621,991.8912503,1240.320229,1692.77857,2075.911295,1301.172572
Santiago_W,,,,,,,,,,,,,,,,,,,,,,368.0446478,234.0028049,753.8185471,0,1092.146234,933.4979967,920.4430101,885.4367343,904.3005926,1077.372069,957.9866541,940.1739717,987.7245452,368.4516791,988.6371145,474.248582,147.9110826,349.6401149,1795.131233,2064.967471,1006.391782,1294.763564,1772.505239,2102.54578,1367.141645
